epoch,train_loss,validation_mae,validation_rmse
1,0.021727,0.122663,0.146243
2,0.021281,0.122307,0.146986
3,0.021507,0.122294,0.146694
4,0.02142,0.122501,0.146168
5,0.021261,0.122998,0.146034
6,0.021216,0.123534,0.146212
7,0.021264,0.123781,0.14633
8,0.021297,0.123644,0.146226
9,0.021268,0.123265,0.145999
10,0.021204,0.122825,0.145814
11,0.021153,0.122456,0.145752
12,0.021138,0.122211,0.145778
13,0.021149,0.122073,0.145782
14,0.021151,0.122029,0.145688
15,0.021124,0.122073,0.145521
16,0.021074,0.122201,0.145365
17,0.021027,0.122383,0.145277
18,0.020999,0.122515,0.145222
19,0.020982,0.122459,0.145099
20,0.020947,0.122151,0.144862
21,0.02088,0.121669,0.144586
22,0.020804,0.121171,0.144373
23,0.020747,0.120787,0.144151
24,0.020686,0.12056,0.143753
25,0.020572,0.120509,0.143268
26,0.020431,0.120487,0.142842
27,0.020309,0.119957,0.142217
28,0.020133,0.118802,0.141387
29,0.019905,0.117719,0.140587
30,0.019687,0.117093,0.13936
