from_job,to_job,transition_count,transition_probability,source
15-1251.00,15-1252.00,24,0.615385,derived_teaching_data
15-1254.00,15-1252.00,18,0.6,derived_teaching_data
15-1253.00,15-1252.00,16,1.0,derived_teaching_data
15-1242.00,15-2051.00,9,1.0,derived_teaching_data
15-1211.00,15-2051.00,12,1.0,derived_teaching_data
15-1244.00,15-1212.00,15,1.0,derived_teaching_data
15-1252.00,15-2051.00,10,0.555556,derived_teaching_data
15-1252.00,15-1212.00,8,0.444444,derived_teaching_data
15-1251.00,15-1254.00,10,0.25641,derived_teaching_data
15-1254.00,15-1255.00,12,0.4,derived_teaching_data
15-1251.00,15-2031.00,5,0.128205,derived_teaching_data
15-2031.00,15-2051.00,9,1.0,derived_teaching_data
