occupation_id,skill_id,skill_name,importance,level,importance_norm,level_norm,demand_weight,is_required,skill_source
15-1211.00,2.A.1.a,Reading Comprehension,3.88,4.5,0.776,0.6428571428571429,0.498857,1,15-1211.00
15-1211.00,2.A.1.b,Active Listening,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1211.00
15-1211.00,2.A.1.c,Writing,3.38,4.0,0.6759999999999999,0.5714285714285714,0.386286,1,15-1211.00
15-1211.00,2.A.1.d,Speaking,4.0,4.0,0.8,0.5714285714285714,0.457143,1,15-1211.00
15-1211.00,2.A.1.e,Mathematics,3.0,3.38,0.6,0.4828571428571428,0.289714,1,15-1211.00
15-1211.00,2.A.1.f,Science,2.25,1.88,0.45,0.26857142857142857,0.120857,0,15-1211.00
15-1211.00,2.A.2.a,Critical Thinking,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1211.00
15-1211.00,2.A.2.b,Active Learning,3.62,4.0,0.724,0.5714285714285714,0.413714,1,15-1211.00
15-1211.00,2.A.2.c,Learning Strategies,3.12,3.0,0.624,0.42857142857142855,0.267429,0,15-1211.00
15-1211.00,2.A.2.d,Monitoring,3.38,4.0,0.6759999999999999,0.5714285714285714,0.386286,1,15-1211.00
15-1211.00,2.B.1.a,Social Perceptiveness,3.12,3.12,0.624,0.44571428571428573,0.278126,0,15-1211.00
15-1211.00,2.B.1.b,Coordination,3.12,3.25,0.624,0.4642857142857143,0.289714,1,15-1211.00
15-1211.00,2.B.1.c,Persuasion,2.75,3.0,0.55,0.42857142857142855,0.235714,0,15-1211.00
15-1211.00,2.B.1.d,Negotiation,2.5,2.5,0.5,0.35714285714285715,0.178571,0,15-1211.00
15-1211.00,2.B.1.e,Instructing,2.88,3.62,0.576,0.5171428571428571,0.297874,1,15-1211.00
15-1211.00,2.B.1.f,Service Orientation,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1211.00
15-1211.00,2.B.2.i,Complex Problem Solving,3.38,4.0,0.6759999999999999,0.5714285714285714,0.386286,1,15-1211.00
15-1211.00,2.B.3.a,Operations Analysis,3.0,3.75,0.6,0.5357142857142857,0.321429,1,15-1211.00
15-1211.00,2.B.3.b,Technology Design,2.88,3.12,0.576,0.44571428571428573,0.256731,0,15-1211.00
15-1211.00,2.B.3.c,Equipment Selection,2.25,2.38,0.45,0.33999999999999997,0.153,0,15-1211.00
15-1211.00,2.B.3.d,Installation,1.62,0.75,0.324,0.10714285714285714,0.034714,0,15-1211.00
15-1211.00,2.B.3.e,Programming,3.25,4.0,0.65,0.5714285714285714,0.371429,1,15-1211.00
15-1211.00,2.B.3.g,Operations Monitoring,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1211.00
15-1211.00,2.B.3.h,Operation and Control,2.5,2.5,0.5,0.35714285714285715,0.178571,0,15-1211.00
15-1211.00,2.B.3.j,Equipment Maintenance,1.88,1.0,0.376,0.14285714285714285,0.053714,0,15-1211.00
15-1211.00,2.B.3.k,Troubleshooting,3.12,3.88,0.624,0.5542857142857143,0.345874,1,15-1211.00
15-1211.00,2.B.3.l,Repairing,1.88,1.25,0.376,0.17857142857142858,0.067143,0,15-1211.00
15-1211.00,2.B.3.m,Quality Control Analysis,3.0,3.5,0.6,0.5,0.3,1,15-1211.00
15-1211.00,2.B.4.e,Judgment and Decision Making,3.62,4.12,0.724,0.5885714285714286,0.426126,1,15-1211.00
15-1211.00,2.B.4.g,Systems Analysis,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1211.00
15-1211.00,2.B.4.h,Systems Evaluation,3.75,4.12,0.75,0.5885714285714286,0.441429,1,15-1211.00
15-1211.00,2.B.5.a,Time Management,3.12,3.38,0.624,0.4828571428571428,0.301303,1,15-1211.00
15-1211.00,2.B.5.b,Management of Financial Resources,2.12,2.0,0.42400000000000004,0.2857142857142857,0.121143,0,15-1211.00
15-1211.00,2.B.5.c,Management of Material Resources,2.0,1.75,0.4,0.25,0.1,0,15-1211.00
15-1211.00,2.B.5.d,Management of Personnel Resources,2.88,3.0,0.576,0.42857142857142855,0.246857,0,15-1211.00
15-1212.00,2.A.1.a,Reading Comprehension,4.0,4.12,0.8,0.5885714285714286,0.470857,1,15-1212.00
15-1212.00,2.A.1.b,Active Listening,3.75,3.88,0.75,0.5542857142857143,0.415714,1,15-1212.00
15-1212.00,2.A.1.c,Writing,3.5,3.75,0.7,0.5357142857142857,0.375,1,15-1212.00
15-1212.00,2.A.1.d,Speaking,3.62,3.75,0.724,0.5357142857142857,0.387857,1,15-1212.00
15-1212.00,2.A.1.e,Mathematics,2.25,2.38,0.45,0.33999999999999997,0.153,0,15-1212.00
15-1212.00,2.A.1.f,Science,1.88,1.62,0.376,0.23142857142857146,0.087017,0,15-1212.00
15-1212.00,2.A.2.a,Critical Thinking,3.88,4.12,0.776,0.5885714285714286,0.456731,1,15-1212.00
15-1212.00,2.A.2.b,Active Learning,3.25,3.88,0.65,0.5542857142857143,0.360286,1,15-1212.00
15-1212.00,2.A.2.c,Learning Strategies,2.88,3.12,0.576,0.44571428571428573,0.256731,0,15-1212.00
15-1212.00,2.A.2.d,Monitoring,3.38,3.88,0.6759999999999999,0.5542857142857143,0.374697,1,15-1212.00
15-1212.00,2.B.1.a,Social Perceptiveness,2.75,2.75,0.55,0.39285714285714285,0.216071,0,15-1212.00
15-1212.00,2.B.1.b,Coordination,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1212.00
15-1212.00,2.B.1.c,Persuasion,2.62,2.88,0.524,0.4114285714285714,0.215589,0,15-1212.00
15-1212.00,2.B.1.d,Negotiation,2.62,2.75,0.524,0.39285714285714285,0.205857,0,15-1212.00
15-1212.00,2.B.1.e,Instructing,2.88,3.12,0.576,0.44571428571428573,0.256731,0,15-1212.00
15-1212.00,2.B.1.f,Service Orientation,2.88,2.75,0.576,0.39285714285714285,0.226286,0,15-1212.00
15-1212.00,2.B.2.i,Complex Problem Solving,3.75,3.62,0.75,0.5171428571428571,0.387857,1,15-1212.00
15-1212.00,2.B.3.a,Operations Analysis,2.5,2.5,0.5,0.35714285714285715,0.178571,0,15-1212.00
15-1212.00,2.B.3.b,Technology Design,2.12,2.12,0.42400000000000004,0.3028571428571429,0.128411,0,15-1212.00
15-1212.00,2.B.3.c,Equipment Selection,1.75,1.0,0.35,0.14285714285714285,0.05,0,15-1212.00
15-1212.00,2.B.3.d,Installation,1.5,0.5,0.3,0.07142857142857142,0.021429,0,15-1212.00
15-1212.00,2.B.3.e,Programming,2.62,2.25,0.524,0.32142857142857145,0.168429,0,15-1212.00
15-1212.00,2.B.3.g,Operations Monitoring,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1212.00
15-1212.00,2.B.3.h,Operation and Control,1.75,0.88,0.35,0.12571428571428572,0.044,0,15-1212.00
15-1212.00,2.B.3.j,Equipment Maintenance,1.62,0.88,0.324,0.12571428571428572,0.040731,0,15-1212.00
15-1212.00,2.B.3.k,Troubleshooting,2.12,1.88,0.42400000000000004,0.26857142857142857,0.113874,0,15-1212.00
15-1212.00,2.B.3.l,Repairing,1.62,0.75,0.324,0.10714285714285714,0.034714,0,15-1212.00
15-1212.00,2.B.3.m,Quality Control Analysis,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1212.00
15-1212.00,2.B.4.e,Judgment and Decision Making,3.38,3.62,0.6759999999999999,0.5171428571428571,0.349589,1,15-1212.00
15-1212.00,2.B.4.g,Systems Analysis,3.38,3.38,0.6759999999999999,0.4828571428571428,0.326411,1,15-1212.00
15-1212.00,2.B.4.h,Systems Evaluation,3.0,3.38,0.6,0.4828571428571428,0.289714,1,15-1212.00
15-1212.00,2.B.5.a,Time Management,3.12,3.12,0.624,0.44571428571428573,0.278126,0,15-1212.00
15-1212.00,2.B.5.b,Management of Financial Resources,1.75,1.12,0.35,0.16,0.056,0,15-1212.00
15-1212.00,2.B.5.c,Management of Material Resources,1.75,1.0,0.35,0.14285714285714285,0.05,0,15-1212.00
15-1212.00,2.B.5.d,Management of Personnel Resources,2.88,2.88,0.576,0.4114285714285714,0.236983,0,15-1212.00
15-1242.00,2.A.1.a,Reading Comprehension,3.75,4.25,0.75,0.6071428571428571,0.455357,1,15-1242.00
15-1242.00,2.A.1.b,Active Listening,3.75,3.88,0.75,0.5542857142857143,0.415714,1,15-1242.00
15-1242.00,2.A.1.c,Writing,3.25,3.88,0.65,0.5542857142857143,0.360286,1,15-1242.00
15-1242.00,2.A.1.d,Speaking,3.38,3.88,0.6759999999999999,0.5542857142857143,0.374697,1,15-1242.00
15-1242.00,2.A.1.e,Mathematics,3.0,3.5,0.6,0.5,0.3,1,15-1242.00
15-1242.00,2.A.1.f,Science,2.0,1.75,0.4,0.25,0.1,0,15-1242.00
15-1242.00,2.A.2.a,Critical Thinking,3.88,4.0,0.776,0.5714285714285714,0.443429,1,15-1242.00
15-1242.00,2.A.2.b,Active Learning,3.5,4.12,0.7,0.5885714285714286,0.412,1,15-1242.00
15-1242.00,2.A.2.c,Learning Strategies,3.0,3.25,0.6,0.4642857142857143,0.278571,0,15-1242.00
15-1242.00,2.A.2.d,Monitoring,3.25,3.88,0.65,0.5542857142857143,0.360286,1,15-1242.00
15-1242.00,2.B.1.a,Social Perceptiveness,2.88,3.0,0.576,0.42857142857142855,0.246857,0,15-1242.00
15-1242.00,2.B.1.b,Coordination,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1242.00
15-1242.00,2.B.1.c,Persuasion,2.62,2.75,0.524,0.39285714285714285,0.205857,0,15-1242.00
15-1242.00,2.B.1.d,Negotiation,2.0,2.0,0.4,0.2857142857142857,0.114286,0,15-1242.00
15-1242.00,2.B.1.e,Instructing,3.0,3.75,0.6,0.5357142857142857,0.321429,1,15-1242.00
15-1242.00,2.B.1.f,Service Orientation,2.88,3.0,0.576,0.42857142857142855,0.246857,0,15-1242.00
15-1242.00,2.B.2.i,Complex Problem Solving,3.88,4.12,0.776,0.5885714285714286,0.456731,1,15-1242.00
15-1242.00,2.B.3.a,Operations Analysis,3.12,3.25,0.624,0.4642857142857143,0.289714,1,15-1242.00
15-1242.00,2.B.3.b,Technology Design,2.38,2.38,0.476,0.33999999999999997,0.16184,0,15-1242.00
15-1242.00,2.B.3.c,Equipment Selection,1.5,0.88,0.3,0.12571428571428572,0.037714,0,15-1242.00
15-1242.00,2.B.3.d,Installation,1.38,0.5,0.27599999999999997,0.07142857142857142,0.019714,0,15-1242.00
15-1242.00,2.B.3.e,Programming,3.38,3.88,0.6759999999999999,0.5542857142857143,0.374697,1,15-1242.00
15-1242.00,2.B.3.g,Operations Monitoring,2.75,2.88,0.55,0.4114285714285714,0.226286,0,15-1242.00
15-1242.00,2.B.3.h,Operation and Control,1.5,0.88,0.3,0.12571428571428572,0.037714,0,15-1242.00
15-1242.00,2.B.3.j,Equipment Maintenance,1.0,0.0,0.2,0.0,0.0,0,15-1242.00
15-1242.00,2.B.3.k,Troubleshooting,2.5,2.5,0.5,0.35714285714285715,0.178571,0,15-1242.00
15-1242.00,2.B.3.l,Repairing,1.12,0.12,0.22400000000000003,0.017142857142857144,0.00384,0,15-1242.00
15-1242.00,2.B.3.m,Quality Control Analysis,2.5,2.5,0.5,0.35714285714285715,0.178571,0,15-1242.00
15-1242.00,2.B.4.e,Judgment and Decision Making,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1242.00
15-1242.00,2.B.4.g,Systems Analysis,3.12,3.88,0.624,0.5542857142857143,0.345874,1,15-1242.00
15-1242.00,2.B.4.h,Systems Evaluation,3.12,4.0,0.624,0.5714285714285714,0.356571,1,15-1242.00
15-1242.00,2.B.5.a,Time Management,2.88,2.88,0.576,0.4114285714285714,0.236983,0,15-1242.00
15-1242.00,2.B.5.b,Management of Financial Resources,1.75,1.38,0.35,0.19714285714285712,0.069,0,15-1242.00
15-1242.00,2.B.5.c,Management of Material Resources,1.88,1.62,0.376,0.23142857142857146,0.087017,0,15-1242.00
15-1242.00,2.B.5.d,Management of Personnel Resources,2.75,3.0,0.55,0.42857142857142855,0.235714,0,15-1242.00
15-1243.00,2.A.1.a,Reading Comprehension,3.88,4.12,0.776,0.5885714285714286,0.456731,1,15-1243.00
15-1243.00,2.A.1.b,Active Listening,3.5,3.75,0.7,0.5357142857142857,0.375,1,15-1243.00
15-1243.00,2.A.1.c,Writing,3.12,3.88,0.624,0.5542857142857143,0.345874,1,15-1243.00
15-1243.00,2.A.1.d,Speaking,3.5,3.88,0.7,0.5542857142857143,0.388,1,15-1243.00
15-1243.00,2.A.1.e,Mathematics,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1243.00
15-1243.00,2.A.1.f,Science,1.88,1.75,0.376,0.25,0.094,0,15-1243.00
15-1243.00,2.A.2.a,Critical Thinking,3.88,3.88,0.776,0.5542857142857143,0.430126,1,15-1243.00
15-1243.00,2.A.2.b,Active Learning,3.25,3.62,0.65,0.5171428571428571,0.336143,1,15-1243.00
15-1243.00,2.A.2.c,Learning Strategies,2.88,3.0,0.576,0.42857142857142855,0.246857,0,15-1243.00
15-1243.00,2.A.2.d,Monitoring,3.12,3.62,0.624,0.5171428571428571,0.322697,1,15-1243.00
15-1243.00,2.B.1.a,Social Perceptiveness,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1243.00
15-1243.00,2.B.1.b,Coordination,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1243.00
15-1243.00,2.B.1.c,Persuasion,2.88,3.0,0.576,0.42857142857142855,0.246857,0,15-1243.00
15-1243.00,2.B.1.d,Negotiation,2.62,2.88,0.524,0.4114285714285714,0.215589,0,15-1243.00
15-1243.00,2.B.1.e,Instructing,2.88,3.62,0.576,0.5171428571428571,0.297874,1,15-1243.00
15-1243.00,2.B.1.f,Service Orientation,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1243.00
15-1243.00,2.B.2.i,Complex Problem Solving,3.88,4.0,0.776,0.5714285714285714,0.443429,1,15-1243.00
15-1243.00,2.B.3.a,Operations Analysis,3.12,3.38,0.624,0.4828571428571428,0.301303,1,15-1243.00
15-1243.00,2.B.3.b,Technology Design,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1243.00
15-1243.00,2.B.3.c,Equipment Selection,1.62,0.75,0.324,0.10714285714285714,0.034714,0,15-1243.00
15-1243.00,2.B.3.d,Installation,1.62,0.75,0.324,0.10714285714285714,0.034714,0,15-1243.00
15-1243.00,2.B.3.e,Programming,3.38,4.12,0.6759999999999999,0.5885714285714286,0.397874,1,15-1243.00
15-1243.00,2.B.3.g,Operations Monitoring,2.12,2.12,0.42400000000000004,0.3028571428571429,0.128411,0,15-1243.00
15-1243.00,2.B.3.h,Operation and Control,1.75,1.38,0.35,0.19714285714285712,0.069,0,15-1243.00
15-1243.00,2.B.3.j,Equipment Maintenance,1.12,0.12,0.22400000000000003,0.017142857142857144,0.00384,0,15-1243.00
15-1243.00,2.B.3.k,Troubleshooting,1.88,2.12,0.376,0.3028571428571429,0.113874,0,15-1243.00
15-1243.00,2.B.3.l,Repairing,1.12,0.12,0.22400000000000003,0.017142857142857144,0.00384,0,15-1243.00
15-1243.00,2.B.3.m,Quality Control Analysis,2.0,1.88,0.4,0.26857142857142857,0.107429,0,15-1243.00
15-1243.00,2.B.4.e,Judgment and Decision Making,3.88,3.88,0.776,0.5542857142857143,0.430126,1,15-1243.00
15-1243.00,2.B.4.g,Systems Analysis,3.75,3.75,0.75,0.5357142857142857,0.401786,1,15-1243.00
15-1243.00,2.B.4.h,Systems Evaluation,3.25,3.75,0.65,0.5357142857142857,0.348214,1,15-1243.00
15-1243.00,2.B.5.a,Time Management,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1243.00
15-1243.00,2.B.5.b,Management of Financial Resources,2.0,1.25,0.4,0.17857142857142858,0.071429,0,15-1243.00
15-1243.00,2.B.5.c,Management of Material Resources,2.0,1.25,0.4,0.17857142857142858,0.071429,0,15-1243.00
15-1243.00,2.B.5.d,Management of Personnel Resources,2.5,2.75,0.5,0.39285714285714285,0.196429,0,15-1243.00
15-1244.00,2.A.1.a,Reading Comprehension,3.88,4.0,0.776,0.5714285714285714,0.443429,1,15-1244.00
15-1244.00,2.A.1.b,Active Listening,3.75,3.88,0.75,0.5542857142857143,0.415714,1,15-1244.00
15-1244.00,2.A.1.c,Writing,3.12,3.75,0.624,0.5357142857142857,0.334286,1,15-1244.00
15-1244.00,2.A.1.d,Speaking,3.38,3.88,0.6759999999999999,0.5542857142857143,0.374697,1,15-1244.00
15-1244.00,2.A.1.e,Mathematics,3.0,3.38,0.6,0.4828571428571428,0.289714,1,15-1244.00
15-1244.00,2.A.1.f,Science,2.25,2.5,0.45,0.35714285714285715,0.160714,0,15-1244.00
15-1244.00,2.A.2.a,Critical Thinking,3.88,3.88,0.776,0.5542857142857143,0.430126,1,15-1244.00
15-1244.00,2.A.2.b,Active Learning,3.12,3.75,0.624,0.5357142857142857,0.334286,1,15-1244.00
15-1244.00,2.A.2.c,Learning Strategies,2.75,3.62,0.55,0.5171428571428571,0.284429,1,15-1244.00
15-1244.00,2.A.2.d,Monitoring,3.75,3.88,0.75,0.5542857142857143,0.415714,1,15-1244.00
15-1244.00,2.B.1.a,Social Perceptiveness,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1244.00
15-1244.00,2.B.1.b,Coordination,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1244.00
15-1244.00,2.B.1.c,Persuasion,2.75,3.0,0.55,0.42857142857142855,0.235714,0,15-1244.00
15-1244.00,2.B.1.d,Negotiation,2.5,2.88,0.5,0.4114285714285714,0.205714,0,15-1244.00
15-1244.00,2.B.1.e,Instructing,2.88,3.62,0.576,0.5171428571428571,0.297874,1,15-1244.00
15-1244.00,2.B.1.f,Service Orientation,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1244.00
15-1244.00,2.B.2.i,Complex Problem Solving,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1244.00
15-1244.00,2.B.3.a,Operations Analysis,3.12,3.25,0.624,0.4642857142857143,0.289714,1,15-1244.00
15-1244.00,2.B.3.b,Technology Design,2.75,3.0,0.55,0.42857142857142855,0.235714,0,15-1244.00
15-1244.00,2.B.3.c,Equipment Selection,2.88,3.25,0.576,0.4642857142857143,0.267429,0,15-1244.00
15-1244.00,2.B.3.d,Installation,2.38,2.12,0.476,0.3028571428571429,0.14416,0,15-1244.00
15-1244.00,2.B.3.e,Programming,3.62,3.88,0.724,0.5542857142857143,0.401303,1,15-1244.00
15-1244.00,2.B.3.g,Operations Monitoring,3.38,3.75,0.6759999999999999,0.5357142857142857,0.362143,1,15-1244.00
15-1244.00,2.B.3.h,Operation and Control,3.0,3.62,0.6,0.5171428571428571,0.310286,1,15-1244.00
15-1244.00,2.B.3.j,Equipment Maintenance,3.0,3.5,0.6,0.5,0.3,1,15-1244.00
15-1244.00,2.B.3.k,Troubleshooting,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1244.00
15-1244.00,2.B.3.l,Repairing,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1244.00
15-1244.00,2.B.3.m,Quality Control Analysis,3.25,3.75,0.65,0.5357142857142857,0.348214,1,15-1244.00
15-1244.00,2.B.4.e,Judgment and Decision Making,3.88,3.88,0.776,0.5542857142857143,0.430126,1,15-1244.00
15-1244.00,2.B.4.g,Systems Analysis,3.88,3.88,0.776,0.5542857142857143,0.430126,1,15-1244.00
15-1244.00,2.B.4.h,Systems Evaluation,3.75,4.12,0.75,0.5885714285714286,0.441429,1,15-1244.00
15-1244.00,2.B.5.a,Time Management,3.12,3.75,0.624,0.5357142857142857,0.334286,1,15-1244.00
15-1244.00,2.B.5.b,Management of Financial Resources,2.0,1.88,0.4,0.26857142857142857,0.107429,0,15-1244.00
15-1244.00,2.B.5.c,Management of Material Resources,2.75,2.75,0.55,0.39285714285714285,0.216071,0,15-1244.00
15-1244.00,2.B.5.d,Management of Personnel Resources,3.0,3.0,0.6,0.42857142857142855,0.257143,0,15-1244.00
15-1251.00,2.A.1.a,Reading Comprehension,3.38,3.5,0.6759999999999999,0.5,0.338,1,15-1251.00
15-1251.00,2.A.1.b,Active Listening,3.75,4.0,0.75,0.5714285714285714,0.428571,1,15-1251.00
15-1251.00,2.A.1.c,Writing,3.25,3.25,0.65,0.4642857142857143,0.301786,1,15-1251.00
15-1251.00,2.A.1.d,Speaking,3.12,3.38,0.624,0.4828571428571428,0.301303,1,15-1251.00
15-1251.00,2.A.1.e,Mathematics,3.12,3.12,0.624,0.44571428571428573,0.278126,0,15-1251.00
15-1251.00,2.A.1.f,Science,2.75,2.75,0.55,0.39285714285714285,0.216071,0,15-1251.00
15-1251.00,2.A.2.a,Critical Thinking,3.75,3.88,0.75,0.5542857142857143,0.415714,1,15-1251.00
15-1251.00,2.A.2.b,Active Learning,3.12,3.25,0.624,0.4642857142857143,0.289714,1,15-1251.00
15-1251.00,2.A.2.c,Learning Strategies,2.38,2.62,0.476,0.3742857142857143,0.17816,0,15-1251.00
15-1251.00,2.A.2.d,Monitoring,3.0,3.12,0.6,0.44571428571428573,0.267429,0,15-1251.00
15-1251.00,2.B.1.a,Social Perceptiveness,3.12,3.0,0.624,0.42857142857142855,0.267429,0,15-1251.00
15-1251.00,2.B.1.b,Coordination,3.0,2.88,0.6,0.4114285714285714,0.246857,0,15-1251.00
15-1251.00,2.B.1.c,Persuasion,2.62,2.75,0.524,0.39285714285714285,0.205857,0,15-1251.00
15-1251.00,2.B.1.d,Negotiation,2.12,2.12,0.42400000000000004,0.3028571428571429,0.128411,0,15-1251.00
15-1251.00,2.B.1.e,Instructing,2.5,3.12,0.5,0.44571428571428573,0.222857,0,15-1251.00
15-1251.00,2.B.1.f,Service Orientation,2.25,2.88,0.45,0.4114285714285714,0.185143,0,15-1251.00
15-1251.00,2.B.2.i,Complex Problem Solving,3.75,3.88,0.75,0.5542857142857143,0.415714,1,15-1251.00
15-1251.00,2.B.3.a,Operations Analysis,3.12,3.75,0.624,0.5357142857142857,0.334286,1,15-1251.00
15-1251.00,2.B.3.b,Technology Design,2.75,2.38,0.55,0.33999999999999997,0.187,0,15-1251.00
