user_id,current_job,target_job
u001,15-1251.00,15-1252.00
u002,15-1254.00,15-1252.00
u003,15-1242.00,15-2051.00
u004,15-1244.00,15-1212.00
u005,15-1253.00,15-1252.00
u006,15-1211.00,15-2051.00
u007,15-1252.00,15-1253.00
u008,15-1253.00,15-1252.00
u009,15-1254.00,15-1252.00
u010,15-1255.00,15-2031.00
u011,15-2031.00,15-2051.00
u012,15-2051.00,15-1211.00
u013,15-1211.00,15-2051.00
u014,15-1212.00,15-1242.00
u015,15-1242.00,15-2051.00
u016,15-1243.00,15-1244.00
u017,15-1244.00,15-1212.00
u018,15-1251.00,15-1252.00
u019,15-1252.00,15-1253.00
u020,15-1253.00,15-1252.00
u021,15-1254.00,15-1252.00
u022,15-1255.00,15-2031.00
u023,15-2031.00,15-2051.00
u024,15-2051.00,15-1211.00
u025,15-1211.00,15-2051.00
u026,15-1212.00,15-1242.00
u027,15-1242.00,15-2051.00
u028,15-1243.00,15-1244.00
u029,15-1244.00,15-1212.00
u030,15-1251.00,15-1252.00
u031,15-1252.00,15-1253.00
u032,15-1253.00,15-1252.00
u033,15-1254.00,15-1252.00
u034,15-1255.00,15-2031.00
u035,15-2031.00,15-2051.00
u036,15-2051.00,15-1211.00
u037,15-1211.00,15-2051.00
u038,15-1212.00,15-1242.00
u039,15-1242.00,15-2051.00
u040,15-1243.00,15-1244.00
u041,15-1244.00,15-1212.00
u042,15-1251.00,15-1252.00
u043,15-1252.00,15-1253.00
u044,15-1253.00,15-1252.00
u045,15-1254.00,15-1252.00
u046,15-1255.00,15-2031.00
u047,15-2031.00,15-2051.00
u048,15-2051.00,15-1211.00
u049,15-1211.00,15-2051.00
u050,15-1212.00,15-1242.00
u051,15-1242.00,15-2051.00
u052,15-1243.00,15-1244.00
u053,15-1244.00,15-1212.00
u054,15-1251.00,15-1252.00
u055,15-1252.00,15-1253.00
u056,15-1253.00,15-1252.00
u057,15-1254.00,15-1252.00
u058,15-1255.00,15-2031.00
u059,15-2031.00,15-2051.00
u060,15-2051.00,15-1211.00
u061,15-1211.00,15-2051.00
u062,15-1212.00,15-1242.00
u063,15-1242.00,15-2051.00
u064,15-1243.00,15-1244.00
u065,15-1244.00,15-1212.00
u066,15-1251.00,15-1252.00
u067,15-1252.00,15-1253.00
u068,15-1253.00,15-1252.00
u069,15-1254.00,15-1252.00
u070,15-1255.00,15-2031.00
u071,15-2031.00,15-2051.00
u072,15-2051.00,15-1211.00
u073,15-1211.00,15-2051.00
u074,15-1212.00,15-1242.00
u075,15-1242.00,15-2051.00
u076,15-1243.00,15-1244.00
u077,15-1244.00,15-1212.00
u078,15-1251.00,15-1252.00
u079,15-1252.00,15-1253.00
u080,15-1253.00,15-1252.00
u081,15-1254.00,15-1252.00
