source,target,occupation_id,skill_id,skill_name,weight,importance,level,importance_norm,level_norm,is_required,skill_source
occupation:15-1211.00,skill:2.A.1.a,15-1211.00,2.A.1.a,Reading Comprehension,0.498857,3.88,4.5,0.776,0.642857,1,15-1211.00
occupation:15-1211.00,skill:2.A.1.b,15-1211.00,2.A.1.b,Active Listening,0.428571,3.75,4.0,0.75,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.A.1.c,15-1211.00,2.A.1.c,Writing,0.386286,3.38,4.0,0.676,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.A.1.d,15-1211.00,2.A.1.d,Speaking,0.457143,4.0,4.0,0.8,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.A.1.e,15-1211.00,2.A.1.e,Mathematics,0.289714,3.0,3.38,0.6,0.482857,1,15-1211.00
occupation:15-1211.00,skill:2.A.1.f,15-1211.00,2.A.1.f,Science,0.120857,2.25,1.88,0.45,0.268571,0,15-1211.00
occupation:15-1211.00,skill:2.A.2.a,15-1211.00,2.A.2.a,Critical Thinking,0.428571,3.75,4.0,0.75,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.A.2.b,15-1211.00,2.A.2.b,Active Learning,0.413714,3.62,4.0,0.724,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.A.2.c,15-1211.00,2.A.2.c,Learning Strategies,0.267429,3.12,3.0,0.624,0.428571,0,15-1211.00
occupation:15-1211.00,skill:2.A.2.d,15-1211.00,2.A.2.d,Monitoring,0.386286,3.38,4.0,0.676,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.B.1.a,15-1211.00,2.B.1.a,Social Perceptiveness,0.278126,3.12,3.12,0.624,0.445714,0,15-1211.00
occupation:15-1211.00,skill:2.B.1.b,15-1211.00,2.B.1.b,Coordination,0.289714,3.12,3.25,0.624,0.464286,1,15-1211.00
occupation:15-1211.00,skill:2.B.1.c,15-1211.00,2.B.1.c,Persuasion,0.235714,2.75,3.0,0.55,0.428571,0,15-1211.00
occupation:15-1211.00,skill:2.B.1.d,15-1211.00,2.B.1.d,Negotiation,0.178571,2.5,2.5,0.5,0.357143,0,15-1211.00
occupation:15-1211.00,skill:2.B.1.e,15-1211.00,2.B.1.e,Instructing,0.297874,2.88,3.62,0.576,0.517143,1,15-1211.00
occupation:15-1211.00,skill:2.B.1.f,15-1211.00,2.B.1.f,Service Orientation,0.257143,3.0,3.0,0.6,0.428571,0,15-1211.00
occupation:15-1211.00,skill:2.B.2.i,15-1211.00,2.B.2.i,Complex Problem Solving,0.386286,3.38,4.0,0.676,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.B.3.a,15-1211.00,2.B.3.a,Operations Analysis,0.321429,3.0,3.75,0.6,0.535714,1,15-1211.00
occupation:15-1211.00,skill:2.B.3.b,15-1211.00,2.B.3.b,Technology Design,0.256731,2.88,3.12,0.576,0.445714,0,15-1211.00
occupation:15-1211.00,skill:2.B.3.c,15-1211.00,2.B.3.c,Equipment Selection,0.153,2.25,2.38,0.45,0.34,0,15-1211.00
occupation:15-1211.00,skill:2.B.3.d,15-1211.00,2.B.3.d,Installation,0.034714,1.62,0.75,0.324,0.107143,0,15-1211.00
occupation:15-1211.00,skill:2.B.3.e,15-1211.00,2.B.3.e,Programming,0.371429,3.25,4.0,0.65,0.571429,1,15-1211.00
occupation:15-1211.00,skill:2.B.3.g,15-1211.00,2.B.3.g,Operations Monitoring,0.267429,3.0,3.12,0.6,0.445714,0,15-1211.00
occupation:15-1211.00,skill:2.B.3.h,15-1211.00,2.B.3.h,Operation and Control,0.178571,2.5,2.5,0.5,0.357143,0,15-1211.00
occupation:15-1211.00,skill:2.B.3.j,15-1211.00,2.B.3.j,Equipment Maintenance,0.053714,1.88,1.0,0.376,0.142857,0,15-1211.00
occupation:15-1211.00,skill:2.B.3.k,15-1211.00,2.B.3.k,Troubleshooting,0.345874,3.12,3.88,0.624,0.554286,1,15-1211.00
