occupation_id,2.A.1.a,2.A.1.b,2.A.1.c,2.A.1.d,2.A.1.e,2.A.1.f,2.A.2.a,2.A.2.b,2.A.2.c,2.A.2.d,2.B.1.a,2.B.1.b,2.B.1.c,2.B.1.d,2.B.1.e,2.B.1.f,2.B.2.i,2.B.3.a,2.B.3.b,2.B.3.c,2.B.3.d,2.B.3.e,2.B.3.g,2.B.3.h,2.B.3.j,2.B.3.k,2.B.3.l,2.B.3.m,2.B.4.e,2.B.4.g,2.B.4.h,2.B.5.a,2.B.5.b,2.B.5.c,2.B.5.d
15-1211.00,0.498857,0.428571,0.386286,0.457143,0.289714,0.120857,0.428571,0.413714,0.267429,0.386286,0.278126,0.289714,0.235714,0.178571,0.297874,0.257143,0.386286,0.321429,0.256731,0.153,0.034714,0.371429,0.267429,0.178571,0.053714,0.345874,0.067143,0.3,0.426126,0.428571,0.441429,0.301303,0.121143,0.1,0.246857
15-1212.00,0.470857,0.415714,0.375,0.387857,0.153,0.087017,0.456731,0.360286,0.256731,0.374697,0.216071,0.257143,0.215589,0.205857,0.256731,0.226286,0.387857,0.178571,0.128411,0.05,0.021429,0.168429,0.267429,0.044,0.040731,0.113874,0.034714,0.267429,0.349589,0.326411,0.289714,0.278126,0.056,0.05,0.236983
15-1242.00,0.455357,0.415714,0.360286,0.374697,0.3,0.1,0.443429,0.412,0.278571,0.360286,0.246857,0.267429,0.205857,0.114286,0.321429,0.246857,0.456731,0.289714,0.16184,0.037714,0.019714,0.374697,0.226286,0.037714,0.0,0.178571,0.00384,0.178571,0.428571,0.345874,0.356571,0.236983,0.069,0.087017,0.235714
15-1243.00,0.456731,0.375,0.345874,0.388,0.267429,0.094,0.430126,0.336143,0.246857,0.322697,0.257143,0.267429,0.246857,0.215589,0.297874,0.257143,0.443429,0.301303,0.257143,0.034714,0.034714,0.397874,0.128411,0.069,0.00384,0.113874,0.00384,0.107429,0.430126,0.401786,0.348214,0.257143,0.071429,0.071429,0.196429
15-1244.00,0.443429,0.415714,0.334286,0.374697,0.289714,0.160714,0.430126,0.334286,0.284429,0.415714,0.257143,0.257143,0.235714,0.205714,0.297874,0.257143,0.428571,0.289714,0.235714,0.267429,0.14416,0.401303,0.362143,0.310286,0.3,0.428571,0.267429,0.348214,0.430126,0.430126,0.441429,0.334286,0.107429,0.216071,0.257143
15-1251.00,0.338,0.428571,0.301786,0.301303,0.278126,0.216071,0.415714,0.289714,0.17816,0.267429,0.267429,0.246857,0.205857,0.128411,0.222857,0.185143,0.415714,0.334286,0.187,0.0,0.013571,0.662286,0.136286,0.008,0.0,0.104143,0.0,0.35,0.301786,0.313857,0.322697,0.278126,0.085714,0.071429,0.205857
15-1252.00,0.425,0.374697,0.336143,0.322697,0.255357,0.0,0.456731,0.362,0.233554,0.3,0.278126,0.267429,0.245143,0.215589,0.256731,0.246857,0.338,0.0,0.349589,0.0,0.053714,0.0,0.187,0.0,0.008929,0.17816,0.008,0.0,0.387857,0.388,0.397874,0.289714,0.05,0.046286,0.168429
15-1253.00,0.470857,0.443429,0.415714,0.443429,0.216071,0.245143,0.430126,0.278126,0.246857,0.387857,0.236983,0.257143,0.187143,0.128411,0.215589,0.196429,0.301303,0.301303,0.196126,0.056,0.1,0.387857,0.224571,0.074126,0.0,0.246857,0.00384,0.349589,0.322697,0.267429,0.325,0.257143,0.026571,0.026571,0.121143
15-1254.00,0.413714,0.35,0.312,0.301786,0.226286,0.128571,0.415714,0.362,0.256731,0.289714,0.226286,0.257143,0.256731,0.216071,0.255357,0.236983,0.374411,0.413714,0.17,0.114286,0.017857,0.500286,0.136286,0.028697,0.0,0.158697,0.0,0.216071,0.326411,0.301303,0.278571,0.246857,0.0625,0.075,0.153
15-1255.00,0.428571,0.430126,0.360286,0.345874,0.256731,0.019714,0.415714,0.362,0.246857,0.322697,0.267429,0.312,0.267429,0.257143,0.267429,0.216071,0.401303,0.257143,0.257143,0.00384,0.00384,0.443429,0.160714,0.0,0.0,0.00384,0.0,0.107429,0.374411,0.313857,0.336143,0.338,0.074126,0.080571,0.235714
15-2031.00,0.485714,0.457143,0.457143,0.457143,0.627429,0.301786,0.470857,0.456731,0.257143,0.256731,0.236983,0.278126,0.256731,0.14416,0.257143,0.226286,0.529714,0.455357,0.056,0.0,0.0,0.205857,0.067143,0.00384,0.0,0.008929,0.0,0.074126,0.485554,0.430126,0.471143,0.267429,0.074126,0.067143,0.196126
15-2051.00,0.478429,0.436777,0.428571,0.443429,0.388,0.085714,0.478429,0.435,0.2625,0.354813,0.273429,0.290746,0.226004,0.187857,0.289286,0.221179,0.362183,0.165357,0.054401,0.030857,0.0,0.251357,0.086246,0.036442,0.0,0.011603,0.0,0.128571,0.373924,0.324415,0.317794,0.301786,0.080571,0.071304,0.196754
