user_id,current_job,current_job_name,target_job,target_job_name,candidate_job,candidate_job_name,match_score,gap_score,missing_skill_count,direct_transition_probability,path_probability,path_length,growth_score,estimated_training_hours,recommendation_score,is_target,rank
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1252.00,Software Developers,0.857432,0.0,0,0.615385,0.615385,1,0.481869,40.0,0.550433,1,1
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1254.00,Web Developers,0.95823,0.0,0,0.25641,0.25641,1,0.500482,40.0,0.544737,0,2
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-2051.00,Data Scientists,0.904937,0.0,0,0.0,0.341881,2,0.50033,40.0,0.533553,0,3
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1212.00,Information Security Analysts,0.928191,0.0,0,0.0,0.273504,2,0.498374,40.0,0.533467,0,4
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1244.00,Network and Computer Systems Administrators,0.970578,0.005545,2,0.0,0.0,-1,0.583766,65.77,0.522939,0,5
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1211.00,Computer Systems Analysts,0.965727,0.0,0,0.0,0.0,-1,0.555833,40.0,0.517952,0,6
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1255.00,Web and Digital Interface Designers,0.93311,0.0,0,0.0,0.102564,2,0.503011,40.0,0.510736,0,7
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1253.00,Software Quality Assurance Analysts and Testers,0.950251,0.0,0,0.0,0.0,-1,0.509293,40.0,0.504007,0,8
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1242.00,Database Administrators,0.94327,0.0,0,0.0,0.0,-1,0.516171,40.0,0.501897,0,9
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1243.00,Database Architects,0.944257,0.0,0,0.0,0.0,-1,0.511853,40.0,0.501694,0,10
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-2031.00,Operations Research Analysts,0.888467,0.009822,0,0.128205,0.128205,1,0.527362,43.14,0.49569,0,11
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1255.00,Web and Digital Interface Designers,0.940392,0.0,0,0.4,0.4,1,0.50253,40.0,0.558556,0,1
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1252.00,Software Developers,0.875544,0.0,0,0.6,0.6,1,0.481388,40.0,0.556203,1,2
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-2051.00,Data Scientists,0.918023,0.0,0,0.0,0.333334,2,0.499848,40.0,0.538088,0,3
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1212.00,Information Security Analysts,0.93996,0.0,0,0.0,0.266666,2,0.497892,40.0,0.537666,0,4
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1244.00,Network and Computer Systems Administrators,0.96838,0.005202,1,0.0,0.0,-1,0.583284,53.66,0.521963,0,5
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1211.00,Computer Systems Analysts,0.973538,0.0,0,0.0,0.0,-1,0.555351,40.0,0.521395,0,6
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1243.00,Database Architects,0.959132,0.0,0,0.0,0.0,-1,0.511371,40.0,0.508315,0,7
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1242.00,Database Administrators,0.955273,0.0,0,0.0,0.0,-1,0.51569,40.0,0.507226,0,8
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1253.00,Software Quality Assurance Analysts and Testers,0.953278,0.0,0,0.0,0.0,-1,0.508811,40.0,0.505297,0,9
