user_id,skill_id,last_level,monthly_slope,forecast_6m
u001,2.A.1.a,0.562119,0.014762,0.65069
u001,2.A.1.b,0.696975,0.016602,0.796589
u001,2.A.1.c,0.503558,0.016527,0.602723
u001,2.A.1.d,0.491148,0.017744,0.597611
u001,2.A.1.e,0.486228,0.021369,0.61444
u001,2.A.1.f,0.436425,0.006364,0.47461
u001,2.A.2.a,0.648302,0.017455,0.753034
u001,2.A.2.b,0.484257,0.018168,0.593265
u001,2.A.2.c,0.407958,0.005586,0.441472
u001,2.A.2.d,0.497886,0.020635,0.621694
u001,2.B.1.a,0.554097,0.016898,0.655483
u001,2.B.1.b,0.401134,0.00675,0.441633
u001,2.B.1.c,0.361683,0.01031,0.423545
u001,2.B.1.d,0.397933,0.009377,0.454196
u001,2.B.1.e,0.344926,0.007535,0.390135
u001,2.B.1.f,0.349712,0.009043,0.403969
u001,2.B.2.i,0.614738,0.013658,0.696687
u001,2.B.3.a,0.6241,0.01709,0.726642
u001,2.B.3.b,0.407683,0.010176,0.468738
u001,2.B.3.c,0.250665,0.006974,0.292506
u001,2.B.3.d,0.232531,0.000116,0.233225
u001,2.B.3.e,0.798849,0.017819,0.905765
u001,2.B.3.g,0.386335,0.008936,0.439948
u001,2.B.3.h,0.259551,0.00918,0.31463
u001,2.B.3.j,0.255593,0.0058,0.290394
u001,2.B.3.k,0.364609,0.006395,0.402979
u001,2.B.3.l,0.304075,0.00961,0.361735
u001,2.B.3.m,0.568029,0.018677,0.680092
u001,2.B.4.e,0.491549,0.01835,0.601648
u001,2.B.4.g,0.655126,0.017847,0.762205
u001,2.B.4.h,0.547013,0.017858,0.654161
u001,2.B.5.a,0.583869,0.017686,0.689984
u001,2.B.5.b,0.29547,0.003903,0.31889
u001,2.B.5.c,0.300448,0.003895,0.323818
u001,2.B.5.d,0.447326,0.011421,0.515851
u002,2.A.1.a,0.658136,0.014855,0.747267
u002,2.A.1.b,0.623638,0.015092,0.714188
u002,2.A.1.c,0.477572,0.015495,0.570545
u002,2.A.1.d,0.577358,0.016798,0.678147
u002,2.A.1.e,0.436155,0.010772,0.500787
u002,2.A.1.f,0.34958,0.005503,0.382596
u002,2.A.2.a,0.69504,0.019311,0.810907
u002,2.A.2.b,0.582421,0.016745,0.682893
u002,2.A.2.c,0.438227,0.016439,0.536862
u002,2.A.2.d,0.501502,0.015514,0.594587
u002,2.B.1.a,0.441615,0.002403,0.456035
u002,2.B.1.b,0.536627,0.01545,0.62933
u002,2.B.1.c,0.522304,0.0168,0.623102
u002,2.B.1.d,0.505942,0.007008,0.547989
u002,2.B.1.e,0.561436,0.02085,0.686537
u002,2.B.1.f,0.417892,0.011411,0.486357
u002,2.B.2.i,0.606442,0.017081,0.70893
u002,2.B.3.a,0.712157,0.013766,0.794752
u002,2.B.3.b,0.369203,0.010158,0.430153
u002,2.B.3.c,0.299298,0.005223,0.330638
u002,2.B.3.d,0.340903,0.008956,0.394637
u002,2.B.3.e,0.714043,0.020565,0.837435
u002,2.B.3.g,0.360947,0.01211,0.433606
u002,2.B.3.h,0.311071,0.006698,0.351261
u002,2.B.3.j,0.224551,0.008428,0.275121
u002,2.B.3.k,0.415886,0.009343,0.471946
u002,2.B.3.l,0.160166,0.007977,0.208028
u002,2.B.3.m,0.491305,0.013397,0.571684
u002,2.B.4.e,0.613196,0.022407,0.747638
u002,2.B.4.g,0.612407,0.019218,0.727713
u002,2.B.4.h,0.510386,0.011246,0.577861
u002,2.B.5.a,0.418768,0.008876,0.472024
u002,2.B.5.b,0.292286,0.00672,0.332606
u002,2.B.5.c,0.274556,0.005436,0.307173
u002,2.B.5.d,0.375437,0.004747,0.403921
u003,2.A.1.a,0.780004,0.018784,0.892711
u003,2.A.1.b,0.618545,0.015288,0.710271
u003,2.A.1.c,0.609623,0.018296,0.719399
u003,2.A.1.d,0.588179,0.015381,0.680465
u003,2.A.1.e,0.684081,0.023932,0.827672
u003,2.A.1.f,0.347883,0.0076,0.393485
u003,2.A.2.a,0.626714,0.014488,0.71364
u003,2.A.2.b,0.606634,0.019431,0.723219
u003,2.A.2.c,0.524131,0.014639,0.611963
u003,2.A.2.d,0.545777,0.013645,0.627648
u003,2.B.1.a,0.518769,0.012277,0.592432
u003,2.B.1.b,0.530125,0.0179,0.637522
u003,2.B.1.c,0.4284,0.010782,0.493094
u003,2.B.1.d,0.27516,0.006654,0.315082
u003,2.B.1.e,0.517473,0.020833,0.642473
u003,2.B.1.f,0.405073,0.005868,0.440283
u003,2.B.2.i,0.600421,0.013219,0.679738
u003,2.B.3.a,0.589927,0.021336,0.717945
u003,2.B.3.b,0.438129,0.00952,0.495246
u003,2.B.3.c,0.299765,0.001533,0.308961
u003,2.B.3.d,0.206214,0.011017,0.272315
u003,2.B.3.e,0.548801,0.018443,0.65946
u003,2.B.3.g,0.460582,0.00943,0.517163
u003,2.B.3.h,0.28449,0.01072,0.348811
u003,2.B.3.j,0.219812,0.00254,0.235054
u003,2.B.3.k,0.338891,0.007107,0.381531
u003,2.B.3.l,0.202028,0.012231,0.275413
u003,2.B.3.m,0.388328,0.006588,0.427854
u003,2.B.4.e,0.601937,0.015455,0.694666
u003,2.B.4.g,0.617302,0.020521,0.740428
u003,2.B.4.h,0.522656,0.012831,0.599645
u003,2.B.5.a,0.445369,0.009405,0.501797
u003,2.B.5.b,0.402725,0.005315,0.434616
u003,2.B.5.c,0.334668,0.004902,0.364081
u003,2.B.5.d,0.535539,0.013954,0.619265
u004,2.A.1.a,0.719431,0.014839,0.808464
u004,2.A.1.b,0.606346,0.0171,0.708946
u004,2.A.1.c,0.587952,0.01962,0.705671
u004,2.A.1.d,0.61292,0.022285,0.746631
u004,2.A.1.e,0.559769,0.01601,0.65583
u004,2.A.1.f,0.317433,0.008726,0.369789
u004,2.A.2.a,0.617426,0.019915,0.736913
u004,2.A.2.b,0.558775,0.017626,0.66453
u004,2.A.2.c,0.501484,0.022703,0.637701
u004,2.A.2.d,0.63074,0.017513,0.735819
u004,2.B.1.a,0.451179,0.017725,0.557527
u004,2.B.1.b,0.514953,0.019679,0.633027
u004,2.B.1.c,0.346269,0.007306,0.390103
u004,2.B.1.d,0.441447,0.008896,0.494825
u004,2.B.1.e,0.500062,0.021176,0.627119
u004,2.B.1.f,0.516095,0.022022,0.648225
u004,2.B.2.i,0.682534,0.020167,0.803533
u004,2.B.3.a,0.552118,0.018119,0.660833
u004,2.B.3.b,0.336614,0.003639,0.358447
u004,2.B.3.c,0.534314,0.020529,0.657487
u004,2.B.3.d,0.367918,0.004271,0.393547
u004,2.B.3.e,0.589564,0.017908,0.697013
u004,2.B.3.g,0.549282,0.016698,0.649469
u004,2.B.3.h,0.552587,0.018408,0.663034
u004,2.B.3.j,0.509904,0.019101,0.624509
u004,2.B.3.k,0.622218,0.012978,0.700087
u004,2.B.3.l,0.510953,0.015608,0.604603
u004,2.B.3.m,0.603674,0.015553,0.696989
u004,2.B.4.e,0.656496,0.020662,0.780466
u004,2.B.4.g,0.645102,0.016025,0.741254
u004,2.B.4.h,0.667345,0.018804,0.780167
u004,2.B.5.a,0.66396,0.017021,0.766085
u004,2.B.5.b,0.302796,0.00713,0.345578
u004,2.B.5.c,0.398293,0.004671,0.42632
u004,2.B.5.d,0.529542,0.016992,0.631494
u005,2.A.1.a,0.753363,0.022213,0.886641
u005,2.A.1.b,0.755383,0.017282,0.859073
u005,2.A.1.c,0.70703,0.011749,0.777523
u005,2.A.1.d,0.696962,0.017273,0.800603
u005,2.A.1.e,0.370937,0.005817,0.40584
u005,2.A.1.f,0.49498,0.010299,0.556773
u005,2.A.2.a,0.674409,0.017429,0.778985
u005,2.A.2.b,0.507582,0.016467,0.606381
u005,2.A.2.c,0.454171,0.006779,0.494847
u005,2.A.2.d,0.62336,0.017127,0.726121
