user_id,current_job,current_job_name,target_job,target_job_name,candidate_job,candidate_job_name,match_score,gap_score,missing_skill_count,direct_transition_probability,path_probability,path_length,growth_score,estimated_training_hours,recommendation_score,is_target,rank
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1252.00,Software Developers,0.857432,0.0,0,0.615385,0.615385,1,0.481869,40.0,0.550433,1,1
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1254.00,Web Developers,0.95823,0.0,0,0.25641,0.25641,1,0.500482,40.0,0.544737,0,2
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-2051.00,Data Scientists,0.904937,0.0,0,0.0,0.341881,2,0.50033,40.0,0.533553,0,3
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1212.00,Information Security Analysts,0.928191,0.0,0,0.0,0.273504,2,0.498374,40.0,0.533467,0,4
u001,15-1251.00,Computer Programmers,15-1252.00,Software Developers,15-1244.00,Network and Computer Systems Administrators,0.970578,0.005545,2,0.0,0.0,-1,0.583766,65.77,0.522939,0,5
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1255.00,Web and Digital Interface Designers,0.940392,0.0,0,0.4,0.4,1,0.50253,40.0,0.558556,0,1
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1252.00,Software Developers,0.875544,0.0,0,0.6,0.6,1,0.481388,40.0,0.556203,1,2
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-2051.00,Data Scientists,0.918023,0.0,0,0.0,0.333334,2,0.499848,40.0,0.538088,0,3
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1212.00,Information Security Analysts,0.93996,0.0,0,0.0,0.266666,2,0.497892,40.0,0.537666,0,4
u002,15-1254.00,Web Developers,15-1252.00,Software Developers,15-1244.00,Network and Computer Systems Administrators,0.96838,0.005202,1,0.0,0.0,-1,0.583284,53.66,0.521963,0,5
u003,15-1242.00,Database Administrators,15-2051.00,Data Scientists,15-2051.00,Data Scientists,0.937911,0.0,0,1.0,1.0,1,0.484159,40.0,0.644684,1,1
u003,15-1242.00,Database Administrators,15-2051.00,Data Scientists,15-1211.00,Computer Systems Analysts,0.97752,0.000241,0,0.0,0.0,-1,0.539661,40.08,0.520773,0,2
u003,15-1242.00,Database Administrators,15-2051.00,Data Scientists,15-1244.00,Network and Computer Systems Administrators,0.96652,0.008003,1,0.0,0.0,-1,0.567594,54.56,0.518073,0,3
u003,15-1242.00,Database Administrators,15-2051.00,Data Scientists,15-1243.00,Database Architects,0.959256,0.0,0,0.0,0.0,-1,0.495681,40.0,0.506017,0,4
u003,15-1242.00,Database Administrators,15-2051.00,Data Scientists,15-1254.00,Web Developers,0.955431,0.0,0,0.0,0.0,-1,0.48431,40.0,0.502591,0,5
u004,15-1244.00,Network and Computer Systems Administrators,15-1212.00,Information Security Analysts,15-1212.00,Information Security Analysts,0.916586,0.0,0,1.0,1.0,1,0.414608,40.0,0.624655,1,1
u004,15-1244.00,Network and Computer Systems Administrators,15-1212.00,Information Security Analysts,15-1211.00,Computer Systems Analysts,0.958218,0.0,0,0.0,0.0,-1,0.472067,40.0,0.502008,0,2
u004,15-1244.00,Network and Computer Systems Administrators,15-1212.00,Information Security Analysts,15-1242.00,Database Administrators,0.917292,0.0,0,0.0,0.0,-1,0.432406,40.0,0.477642,0,3
u004,15-1244.00,Network and Computer Systems Administrators,15-1212.00,Information Security Analysts,15-1253.00,Software Quality Assurance Analysts and Testers,0.918301,0.0,0,0.0,0.0,-1,0.425527,40.0,0.477064,0,4
