user_id,2.A.1.a,2.A.1.b,2.A.1.c,2.A.1.d,2.A.1.e,2.A.1.f,2.A.2.a,2.A.2.b,2.A.2.c,2.A.2.d,2.B.1.a,2.B.1.b,2.B.1.c,2.B.1.d,2.B.1.e,2.B.1.f,2.B.2.i,2.B.3.a,2.B.3.b,2.B.3.c,2.B.3.d,2.B.3.e,2.B.3.g,2.B.3.h,2.B.3.j,2.B.3.k,2.B.3.l,2.B.3.m,2.B.4.e,2.B.4.g,2.B.4.h,2.B.5.a,2.B.5.b,2.B.5.c,2.B.5.d
u001,0.562119,0.696975,0.503558,0.491148,0.486228,0.436425,0.648302,0.484257,0.407958,0.497886,0.554097,0.401134,0.361683,0.397933,0.344926,0.349712,0.614738,0.6241,0.407683,0.250665,0.232531,0.798849,0.386335,0.259551,0.255593,0.364609,0.304075,0.568029,0.491549,0.655126,0.547013,0.583869,0.29547,0.300448,0.447326
u002,0.658136,0.623638,0.477572,0.577358,0.436155,0.34958,0.69504,0.582421,0.438227,0.501502,0.441615,0.536627,0.522304,0.505942,0.561436,0.417892,0.606442,0.712157,0.369203,0.299298,0.340903,0.714043,0.360947,0.311071,0.224551,0.415886,0.160166,0.491305,0.613196,0.612407,0.510386,0.418768,0.292286,0.274556,0.375437
u003,0.780004,0.618545,0.609623,0.588179,0.684081,0.347883,0.626714,0.606634,0.524131,0.545777,0.518769,0.530125,0.4284,0.27516,0.517473,0.405073,0.600421,0.589927,0.438129,0.299765,0.206214,0.548801,0.460582,0.28449,0.219812,0.338891,0.202028,0.388328,0.601937,0.617302,0.522656,0.445369,0.402725,0.334668,0.535539
u004,0.719431,0.606346,0.587952,0.61292,0.559769,0.317433,0.617426,0.558775,0.501484,0.63074,0.451179,0.514953,0.346269,0.441447,0.500062,0.516095,0.682534,0.552118,0.336614,0.534314,0.367918,0.589564,0.549282,0.552587,0.509904,0.622218,0.510953,0.603674,0.656496,0.645102,0.667345,0.66396,0.302796,0.398293,0.529542
u005,0.753363,0.755383,0.70703,0.696962,0.370937,0.49498,0.674409,0.507582,0.454171,0.62336,0.527634,0.503808,0.473781,0.399542,0.474122,0.34162,0.508332,0.551561,0.387309,0.347899,0.371823,0.591424,0.460362,0.306923,0.290655,0.460718,0.25703,0.562255,0.674618,0.426752,0.502704,0.50716,0.274732,0.18624,0.375068
u006,0.757793,0.672977,0.606339,0.624856,0.485416,0.359889,0.621839,0.690012,0.493757,0.582007,0.48153,0.569267,0.475684,0.374285,0.514382,0.437026,0.504988,0.543221,0.464708,0.426538,0.277538,0.596502,0.590564,0.387602,0.371451,0.55581,0.369186,0.536271,0.635852,0.714422,0.698465,0.542309,0.256416,0.239932,0.493902
u007,0.67362,0.638329,0.610307,0.543475,0.499837,0.250976,0.68891,0.55412,0.533607,0.598568,0.437662,0.504683,0.369808,0.448074,0.528237,0.436655,0.545508,0.309263,0.60224,0.237042,0.260457,0.2611,0.413792,0.203433,0.24683,0.374806,0.249446,0.222448,0.629662,0.645986,0.672272,0.50782,0.324209,0.304118,0.452196
u008,0.649883,0.7259,0.633347,0.733019,0.475838,0.371503,0.582592,0.570769,0.540356,0.53924,0.39222,0.549685,0.424798,0.313462,0.425167,0.414829,0.525472,0.622611,0.428341,0.24771,0.328017,0.609027,0.444647,0.34858,0.272877,0.421538,0.292571,0.676177,0.597484,0.515175,0.573165,0.506756,0.300628,0.235849,0.28126
u009,0.731406,0.614714,0.585577,0.460943,0.31972,0.295079,0.631112,0.582124,0.450308,0.598361,0.428885,0.476602,0.564146,0.482872,0.576891,0.477486,0.617372,0.602692,0.279818,0.327725,0.222366,0.711589,0.382178,0.19707,0.236017,0.4126,0.201585,0.461169,0.520396,0.644156,0.510737,0.403833,0.333761,0.30485,0.326337
u010,0.600482,0.703664,0.530567,0.620291,0.577938,0.232229,0.677453,0.651143,0.446294,0.621751,0.474211,0.528469,0.524478,0.58332,0.54771,0.420081,0.68152,0.570523,0.505138,0.285967,0.253768,0.693495,0.346667,0.301819,0.193061,0.250187,0.26334,0.270588,0.578874,0.550277,0.575544,0.488951,0.338356,0.306311,0.360053
